2#大烟道负压,CO浓度_mg_m3
-14.74,3631.366
-14.685,3658.493
-14.671,3753.617
-14.714,2013.166
-14.735,2880.859
-14.742,3784.361
-14.77,3897.931
-14.791,3825.593
-14.796,3772.063
-14.784,3704.789
-14.771,3665.365
-14.766,3567.347
-14.763,3483.435
-14.741,3490.669
-15.015,3456.669
-15.035,3501.881
-15.028,3563.73
-15.051,3590.133
-15.032,3453.053
-15.011,3331.163
-15.009,3292.101
-15.017,3265.335
-15.007,3319.951
-15.007,3383.608
-14.987,3464.989
-15.016,3464.989
-15.01,3461.01
-15.044,3483.073
-15.021,3398.438
-15.034,3433.883
-15.059,3399.161
-15.033,3391.204
-15.047,3327.546
-15.049,3312.355
-15.066,3319.951
-15.044,3272.931
-15.049,3224.465
-15.045,3231.699
-15.018,3284.867
-15.009,3315.972
-14.73,3284.867
-14.721,3246.528
-14.725,3162.977
-14.636,3082.682
-14.631,3079.065
-14.639,3139.468
-14.414,3123.915
-14.47,3138.382
-14.467,3150.318
-14.461,3174.19
-14.47,3208.55
-14.472,3268.953
-14.466,3379.992
-14.468,3407.118
-14.484,3419.054
-14.495,3395.544
-14.485,3361.183
-14.47,3312.355
-14.48,3254.123
-14.481,3205.295
-14.474,3239.294
-14.485,3235.677
-14.506,3311.632
-14.512,3323.568
-14.483,3361.183
-14.508,3403.139
-14.517,3418.692
-14.233,3422.309
-14.289,3437.138
-14.248,3449.436
-14.228,3426.287
-14.23,3372.396
-14.226,3364.8
-14.383,3399.523
-14.405,3376.013
-14.409,3364.8
-14.392,3296.441
-14.364,3281.25
-14.367,3331.163
-14.378,3342.737
-14.401,3281.25
-14.42,3197.7
-14.447,3132.234
-14.443,2998.77
-14.427,2987.919
-14.417,3033.131
-14.434,3102.937
-14.462,3254.123
-14.317,3254.123
-14.361,3269.676
-14.359,3246.889
-14.402,3224.465
-14.391,3242.549
-14.383,3235.315
-14.421,3216.869
-14.466,3189.019
-14.409,3158.999
-14.414,3139.829
-14.398,3230.614
-14.398,3276.91
-14.411,3342.737
-14.383,3418.692
-14.39,3475.477
-14.399,3586.516
-14.394,3593.75
-14.39,3604.601
-14.432,3685.257
-14.763,3638.961
-14.747,3564.453
-14.766,3719.256
-14.742,3702.98
-14.739,3638.961
-15.011,3673.683
-15.092,3670.067
-15.566,3822.7
-16.018,3916.739
-16.349,4141.348
-16.421,4310.619
-16.506,4446.615
-16.55,4370.298
-16.592,4408.275
-16.596,4449.87
-16.543,4414.063
-15.641,4267.578
-15.488,4059.245
-14.979,3682.002
-14.848,3372.396
-14.549,3182.509
-14.601,3231.699
-14.093,3362.269
-14.326,2938.006
-14.209,3419.054
-14.204,3239.294
-14.13,3056.641
-14.293,2991.537
-14.571,3098.959
-14.59,3169.85
-14.566,3280.527
-14.59,3304.037
-14.626,3227.72
-14.899,3200.955
-14.912,3139.106
-14.932,3204.933
-14.934,3215.784
-14.924,1000.072
-14.954,81.019
-14.976,24.957
-14.979,1.447
-14.89,1.447
-14.924,13.383
-14.921,9.404
-14.922,13.383
-14.931,8019.749
-14.714,9995.298
-14.697,9998.554
-14.683,9998.554
-14.646,1086.878
-14.647,84.997
-14.612,24.957
-14.649,20.978
-14.641,405.816
-14.649,2953.921
-14.664,3315.972
-14.673,3387.587
-14.695,3374.566
-14.687,3426.287
-14.704,3422.309
-14.714,3430.628
-14.703,3525.029
-14.695,3563.73
-14.733,3635.706
-14.739,3649.088
-14.743,3616.175
-14.748,3563.73
-14.737,3612.196
-14.741,3532.625
-14.751,3501.881
-14.781,3472.584
-14.77,3450.882
-14.758,3453.415
-14.755,3461.01
-14.73,3364.8
-14.733,3296.441
-14.724,3308.015
-14.72,3315.972
-14.718,3348.886
-14.732,3346.354
-14.716,3284.867
-14.728,3193.721
-14.744,3190.104
-14.699,3193.359
-14.71,3242.549
-14.672,3280.165
-14.681,3311.632
-14.697,3376.736
-14.683,3399.161
-15.143,3407.118
-15.16,3505.859
-15.168,3608.579
-15.205,3639.323
-15.18,3673.683
-15.195,3631.366
-15.214,3578.921
-15.19,3468.244
-15.177,3368.779
-15.134,3361.183
-15.134,3379.992
-15.139,3449.074
-15.153,3498.264
-15.18,3391.927
-15.178,3308.015
-15.158,3246.528
-15.445,3250.145
-15.432,3257.74
-15.427,3315.972
-15.417,3327.546
-15.454,3292.463
-15.447,3296.441
-15.439,3269.314
-15.451,3319.951
-15.415,3296.441
-15.413,3422.309
-15.105,3407.118
-14.69,3383.608
-14.722,3220.486
-14.716,3193.721
-14.707,3151.403
-14.717,3174.19
-14.73,3094.618
-14.711,3090.278
-14.729,3044.705
-14.704,3044.705
-14.697,3079.065
-14.69,3098.959
-14.676,3158.637
-14.959,3170.573
-15.237,3292.463
-15.427,3350.333
-15.438,3501.881
-15.495,3532.625
-15.47,3483.435
-14.886,3388.672
-14.762,3304.398
-14.754,3224.465
-14.707,3196.615
-14.721,3162.977
-14.7,2663.846
-14.703,1125.217
-14.594,3096.065
-14.582,3276.91
-14.627,3261.719
-14.606,3242.911
-14.624,3350.333
-14.654,3421.947
-14.627,3391.927
-14.657,3373.119
-14.654,3273.655
-14.587,3193.721
-14.593,3242.549
-14.592,3331.163
-14.578,3461.01
-14.601,3525.029
-14.592,3563.73
-14.586,3574.942
-14.131,3501.881
-14.732,3461.01
-14.761,3697.193
-14.71,3586.878
-14.704,3536.242
-14.691,3464.989
-14.684,3532.625
-14.686,3556.135
-14.704,3505.859
-14.683,3449.436
-14.672,3414.713
-14.723,3479.456
-14.705,3517.433
-14.695,3490.669
-14.697,3372.396
-14.662,3346.354
-14.676,3323.568
-14.676,3350.333
-14.66,3354.311
-14.688,3346.354
-14.648,3323.568
-14.645,3308.015
-14.66,3261.719
-14.658,3261.719
-14.651,3228.082
-14.653,3281.25
-14.658,3300.419
-14.623,3288.846
-14.655,3387.949
-14.657,3468.605
-14.672,3475.477
-14.647,3464.989
-14.676,3445.819
-14.679,3425.564
-14.675,3395.544
-14.651,3331.163
-14.654,3411.097
-14.688,3419.054
-14.683,3416.522
-14.707,3464.989
-14.695,3475.477
-14.685,3536.242
-14.699,3601.346
-14.692,3619.792
-14.695,3678.024
-14.697,3611.834
-14.529,3619.792
-14.515,3634.26
-14.518,3607.856
-14.528,3654.876
-14.551,3619.792
-14.544,3628.111
-14.507,3589.048
-14.491,3635.706
-14.458,3748.553
-14.444,3768.084
-14.447,3863.209
-14.45,3902.272
-14.474,4023.799
-14.489,4008.608
-14.515,3977.141
-14.506,4066.479
-14.2,4058.883
-14.129,4047.309
-14.119,3981.481
-14.112,3981.481
-14.071,3989.077
-14.1,4004.268
-14.076,4035.373
-14.063,3969.908
-14.063,4118.923
-14.068,4187.645
-14.876,4207.176
-14.901,4195.602
-14.906,4321.47
-14.874,4328.704
-14.887,4222.005
-14.654,4099.392
-14.672,4092.159
-14.725,3973.886
-14.572,3989.077
-14.538,3973.886
-14.557,3956.163
-14.535,3890.697
-14.566,3932.653
-14.561,3894.676
-14.56,3878.762
-14.563,3868.273
-14.566,3867.549
-14.586,3855.975
-14.632,3909.867
-14.627,3906.25
-14.638,3837.891
-15.01,3855.975
-15.184,3817.998
-15.154,3818.721
-15.169,3776.403
-15.164,3749.638
-15.138,3737.703
-14.94,3776.403
-14.917,3666.088
-14.928,3635.706
-14.932,3517.433
-14.928,3552.156
-14.916,3498.264
-14.916,3517.433
-14.797,3505.859
-14.859,3517.433
-14.859,3468.244
-14.861,3418.692
-14.84,3449.436
-14.837,3403.139
-14.845,3449.436
-14.819,3422.309
-14.791,3407.118
-14.799,3457.755
-14.814,3517.433
-14.818,3643.302
-14.846,3627.387
-14.837,3578.921
-14.865,3574.942
-14.901,3516.71
-14.849,3563.73
-14.876,3513.093
-14.865,3399.523
-14.84,3418.692
-14.834,3357.567
-14.824,3304.037
-14.803,3304.037
-14.811,3327.546
-14.81,3272.931
-14.795,3178.169
-14.788,3177.807
-14.748,3189.019
-14.752,3280.527
-14.698,3339.482
-14.703,3475.839
-14.722,3498.264
-14.744,3594.112
-14.797,3639.323
-14.841,3631.004
-14.844,3616.175
-14.846,3543.475
-14.845,3544.56
-14.845,3406.033
-14.831,3383.608
-14.579,3368.417
-14.57,3414.713
-14.526,3357.567
-14.583,3387.949
-14.563,3507.306
-14.601,3601.346
-14.59,3634.983
-14.574,3634.983
-14.582,3666.088
-14.556,3578.921
-14.534,3616.175
-14.557,3631.727
-14.526,3556.135
-14.545,3571.325
-14.239,3567.347
-14.249,3517.433
-14.235,3472.584
-14.277,3483.435
-14.519,3451.606
-14.499,3468.605
-14.487,3604.963
-14.497,3666.088
-14.571,3719.618
-14.78,3757.234
-14.743,3852.358
-14.767,3942.419
-14.763,3981.481
-14.784,3997.396
-14.827,4008.608
-14.833,3952.546
-14.81,3859.954
-14.846,3886.719
-14.834,3858.507
-14.846,3822.7
-14.844,3794.85
-14.859,3768.808
-14.549,3745.298
-14.563,3772.063
-14.528,3708.767
-14.552,3677.662
-14.554,3685.257
-14.537,3689.598
-14.534,3646.919
-14.559,3631.366
-14.548,3563.73
-14.573,3552.156
-14.547,3604.963
-14.536,3634.983
-14.541,3708.767
-14.523,3749.277
-14.579,3741.681
-14.529,3719.618
-14.504,3768.808
-14.523,3848.38
-14.503,3913.846
-14.481,3925.058
-14.529,4051.287
-14.83,4066.479
-14.823,3993.055
-14.801,3996.672
-14.796,3929.037
-14.8,3875.145
-14.841,3795.573
-14.841,3708.767
-14.676,3548.177
-15.029,3665.726
-14.579,4153.646
-14.667,3742.405
-14.68,3547.815
-14.665,3540.22
-14.627,3590.133
-14.686,3627.387
-14.635,3594.112
-14.63,3441.84
-14.631,3419.416
-14.62,3383.608
-14.642,3300.419
-14.65,3209.274
-14.657,3131.872
-14.638,3021.195
-14.551,923.032
-14.563,2611.039
-14.548,2994.792
-14.521,3013.961
