1#风箱负压,CO浓度_mg_m3
-11.521,4129.774
-11.655,4168.475
-11.681,4184.39
-11.696,4236.835
-11.442,4267.216
-11.32,4180.049
-11.522,4317.491
-11.628,4332.682
-11.736,4301.939
-11.647,4240.452
-11.547,4259.621
-11.457,4271.557
-11.414,4329.427
-11.528,4365.958
-11.727,4310.257
-12.028,4217.303
-12.026,4295.066
-11.961,4214.41
-11.8,4435.041
-12.087,4472.294
-12.057,4667.607
-11.908,4705.223
-11.67,4755.136
-11.496,4624.566
-11.529,4670.862
-11.695,4564.525
-11.806,4567.781
-11.904,4555.845
-11.814,4541.377
-11.503,4399.233
-11.41,4157.625
-11.454,4046.224
-11.356,4102.648
-11.321,4160.518
-11.238,4207.176
-11.153,4210.431
-11.268,4244.792
-11.31,4271.195
-11.399,4191.985
-11.379,4095.052
-11.528,4027.778
-11.417,3953.27
-11.282,3837.891
-11.153,3814.381
-11.122,3741.681
-11.183,3501.519
-11.29,885.778
-11.06,3357.567
-11.044,3642.94
-11.067,3646.919
-11.249,3674.407
-11.36,3615.451
-11.395,3616.175
-11.343,3604.963
-11.29,3631.727
-11.198,3598.09
-11.07,3598.09
-11.074,3586.878
-11.174,3438.223
-11.3,3354.311
-11.325,3300.419
-11.314,3269.314
-11.243,3331.163
-11.245,3395.544
-11.161,3448.713
-11.133,3426.287
-11.126,3464.989
-11.052,3453.415
-11.001,3365.162
-10.976,3475.839
-11.055,3521.05
-11.275,3524.305
-11.421,3567.347
-11.537,3525.029
-11.61,3498.264
-11.607,3486.328
-11.447,3517.433
-11.277,3619.792
-11.221,3616.175
-11.247,3631.366
-11.305,3567.347
-11.416,3501.881
-11.517,3422.309
-11.433,3386.14
-11.368,3342.737
-11.131,3257.74
-11.135,3304.037
-11.17,3212.891
-11.226,3166.233
-11.215,3238.571
-11.157,3286.314
-11.06,3361.183
-10.988,3449.436
-10.992,3403.139
-11.129,3407.118
-11.205,3438.223
-11.183,3430.628
-11.249,3423.033
-11.138,3418.692
-11.074,3498.264
-11.017,3525.029
-10.88,3525.029
-10.867,3494.285
-10.777,3517.433
-10.981,3610.026
-11.105,3563.73
-11.137,3594.112
-11.18,3616.175
-11.183,3547.815
-11.219,3574.942
-11.306,3528.284
-11.212,3498.264
-11.174,3552.156
-11.192,3624.132
-11.174,3650.535
-11.08,3662.471
-10.976,3556.135
-10.929,3544.199
-10.94,3563.73
-10.962,3520.689
-10.939,3475.839
-10.966,3433.883
-10.862,3395.182
-11.034,3433.883
-11.145,3461.01
-11.157,3461.01
-11.156,3395.544
-11.018,3509.838
-10.906,3642.94
-10.895,3586.516
-10.906,3601.346
-10.892,3608.579
-10.888,3563.73
-10.919,3540.22
-11.149,3457.031
-11.342,3426.287
-11.395,3457.031
-11.416,3411.097
-11.393,3460.648
-11.383,3494.285
-11.245,3461.01
-11.108,3479.094
-10.986,3567.347
-10.97,3563.006
-11.023,3528.646
-11.081,3525.029
-11.157,3566.623
-11.187,3505.859
-11.198,3426.287
