1#大烟道温度,CO浓度_mg_m3
154.2,3837.891
153.8,3855.975
153.8,3817.998
154.3,3818.721
155.2,3776.403
156.2,3749.638
157.2,3737.703
158.3,3776.403
159.2,3666.088
159.9,3635.706
160.4,3517.433
160.6,3552.156
160.4,3498.264
159.9,3517.433
159.5,3505.859
159.1,3517.433
158.6,3468.244
158.4,3418.692
158.4,3449.436
158.9,3403.139
159.5,3449.436
159.9,3422.309
159.9,3407.118
159.7,3457.755
159.4,3517.433
159.2,3643.302
159.2,3627.387
159.2,3578.921
159.7,3574.942
160.4,3516.71
161.1,3563.73
162.0,3513.093
163.5,3399.523
165.4,3418.692
167.4,3357.567
169.7,3304.037
172.6,3304.037
175.5,3327.546
178.4,3272.931
180.8,3178.169
182.3,3177.807
182.7,3189.019
182.4,3280.527
180.9,3339.482
178.1,3475.839
174.9,3498.264
171.6,3594.112
168.3,3639.323
165.3,3631.004
163.4,3616.175
162.7,3543.475
162.8,3544.56
163.2,3406.033
163.7,3383.608
164.3,3368.417
164.6,3414.713
164.4,3357.567
163.6,3387.949
162.7,3507.306
162.1,3601.346
161.5,3634.983
161.3,3634.983
160.7,3666.088
160.2,3578.921
160.0,3616.175
160.0,3631.727
160.4,3556.135
161.1,3571.325
162.0,3567.347
162.8,3517.433
163.3,3472.584
163.7,3483.435
163.6,3451.606
162.9,3468.605
161.7,3604.963
160.3,3666.088
159.0,3719.618
157.7,3757.234
156.7,3852.358
156.2,3942.419
155.7,3981.481
155.5,3997.396
155.2,4008.608
154.8,3952.546
154.4,3859.954
154.3,3886.719
154.5,3858.507
155.2,3822.7
156.2,3794.85
157.2,3768.808
158.3,3745.298
159.4,3772.063
160.1,3708.767
160.3,3677.662
160.7,3685.257
161.5,3689.598
162.5,3646.919
163.1,3631.366
163.2,3563.73
162.8,3552.156
162.2,3604.963
161.6,3634.983
161.3,3708.767
161.3,3749.277
161.0,3741.681
160.4,3719.618
159.5,3768.808
159.0,3848.38
158.7,3913.846
158.6,3925.058
159.2,4051.287
160.0,4066.479
160.5,3993.055
161.3,3996.672
162.4,3929.037
163.8,3875.145
165.2,3795.573
166.0,3708.767
165.0,3548.177
162.2,3665.726
161.2,4153.646
160.4,3742.405
158.9,3547.815
157.6,3540.22
156.7,3590.133
156.5,3627.387
156.5,3594.112
156.7,3441.84
156.9,3419.416
157.4,3383.608
158.1,3300.419
158.6,3209.274
159.4,3131.872
160.5,3021.195
161.8,923.032
163.5,2611.039
164.9,2994.792
165.6,3013.961
165.6,3071.832
165.2,3139.468
164.8,3219.763
164.3,3189.743
163.6,3200.593
162.6,3231.699
162.1,3258.102
161.5,3335.142
161.0,3379.992
160.4,3386.502
159.4,3361.183
158.2,3423.394
156.9,3601.346
155.8,3620.515
155.2,3669.343
154.9,3571.325
154.7,3528.646
154.5,3419.054
154.5,3430.628
154.7,3372.396
155.0,3395.182
155.7,3338.759
156.9,3276.91
158.3,3212.891
159.7,3128.617
160.7,3121.022
161.2,3158.637
160.9,3147.063
160.1,3230.975
159.3,3220.125
158.4,3228.082
157.4,3300.419
157.4,3357.567
157.8,3379.992
157.9,3468.605
157.2,3501.881
157.2,3505.859
157.2,3616.175
157.2,3571.325
157.0,3525.029
156.7,3525.029
156.2,3521.05
155.7,3612.196
155.3,3590.133
155.4,3627.387
156.1,3612.196
156.7,3547.815
157.4,3521.05
157.7,3521.05
157.7,3505.859
157.1,3517.433
156.4,3454.5
155.6,3461.01
154.9,3546.369
154.6,3574.942
154.5,3563.73
154.6,3598.09
154.8,3604.963
154.9,3588.325
155.2,3559.389
155.4,3566.623
155.8,3571.325
