13#风箱温度,CO浓度_mg_m3
293.2,3116.681
256.85,3158.637
265.55,3116.681
331.35,3067.853
378.2,3112.703
368.05,3139.106
331.65,3151.403
320.2,3193.721
296.0,3166.233
303.85,3205.295
303.8,3219.763
317.6,3234.592
325.5,3296.441
329.05,3351.418
314.7,3308.015
341.2,3270.037
371.95,3254.123
357.85,3212.167
345.8,3150.318
370.3,3139.468
372.15,3135.127
386.1,3154.297
386.2,3177.084
373.7,3234.954
351.75,3338.759
347.79999999999995,3368.417
301.45000000000005,3414.713
263.75,3510.2
245.7,3574.942
249.8,3601.346
257.55,3639.323
295.1,3504.774
346.7,3422.309
381.75,3419.054
381.9,3422.309
395.35,3357.567
387.75,3368.417
375.35,3379.992
348.05,3422.309
324.35,3438.223
312.55,3516.71
296.6,3528.646
296.70000000000005,3574.942
295.6,3649.812
294.55,3650.535
279.75,3725.767
288.9,3715.639
286.6,3737.703
273.45,3708.044
283.45000000000005,3726.852
307.45,3723.235
318.45,3654.876
326.20000000000005,3631.366
336.85,3501.519
358.95,3468.244
383.5,3379.992
388.95,3353.588
373.65,3265.335
352.15,3212.891
349.9,3364.8
360.6,3308.015
354.8,3368.417
332.95,3350.333
327.6,3372.396
332.25,3414.352
331.25,3335.142
328.70000000000005,3346.354
335.9,3308.015
346.5,3272.931
357.2,3468.244
357.2,3544.56
349.7,3264.974
360.5,3311.632
356.70000000000005,3261.719
339.15,3346.354
334.6,3422.309
322.5,3395.544
304.75,3411.097
275.5,3357.567
266.05,3434.245
239.3,3391.927
224.75,3536.242
227.25,3639.323
248.5,3640.408
262.35,3670.067
230.89999999999998,3631.366
191.55,3658.493
167.65,3753.617
156.95,2013.166
157.85,2880.859
168.45,3784.361
190.85,3897.931
241.15,3825.593
278.25,3772.063
283.6,3704.789
284.04999999999995,3665.365
293.45,3567.347
295.15,3483.435
271.15,3490.669
264.05,3456.669
250.6,3501.881
246.5,3563.73
260.75,3590.133
280.45,3453.053
297.65,3331.163
322.65,3292.101
328.0,3265.335
293.35,3319.951
245.45,3383.608
212.25,3464.989
217.9,3464.989
231.2,3461.01
243.9,3483.073
260.70000000000005,3398.438
296.1,3433.883
304.04999999999995,3399.161
296.95,3391.204
300.95,3327.546
320.1,3312.355
321.25,3319.951
326.0,3272.931
327.55,3224.465
333.9,3231.699
339.65,3284.867
342.4,3315.972
328.9,3284.867
309.35,3246.528
338.95000000000005,3162.977
380.9,3082.682
404.5,3079.065
408.95,3139.468
395.6,3123.915
381.65,3138.382
372.5,3150.318
356.54999999999995,3174.19
320.35,3208.55
281.9,3268.953
251.0,3379.992
250.14999999999998,3407.118
277.95,3419.054
313.0,3395.544
313.79999999999995,3361.183
320.15,3312.355
341.25,3254.123
344.75,3205.295
315.65,3239.294
279.45,3235.677
279.20000000000005,3311.632
285.8,3323.568
283.95000000000005,3361.183
280.35,3403.139
266.3,3418.692
266.15,3422.309
260.45,3437.138
263.70000000000005,3449.436
279.04999999999995,3426.287
290.35,3372.396
272.6,3364.8
259.75,3399.523
262.25,3376.013
298.5,3364.8
315.65,3296.441
305.65,3281.25
324.79999999999995,3331.163
292.95,3342.737
281.85,3281.25
293.2,3197.7
329.0,3132.234
353.9,2998.77
351.45,2987.919
341.15,3033.131
313.45,3102.937
280.55,3254.123
259.75,3254.123
259.20000000000005,3269.676
259.05,3246.889
250.65,3224.465
245.25,3242.549
248.05,3235.315
261.25,3216.869
285.1,3189.019
290.15,3158.999
297.5,3139.829
305.6,3230.614
302.3,3276.91
279.35,3342.737
246.55,3418.692
228.85,3475.477
226.15,3586.516
221.7,3593.75
228.95,3604.601
242.85000000000002,3685.257
246.1,3638.961
273.0,3564.453
283.25,3719.256
286.2,3702.98
278.65,3638.961
252.9,3673.683
215.65,3670.067
192.0,3822.7
182.75,3916.739
164.5,4141.348
158.7,4310.619
194.5,4446.615
223.1,4370.298
206.39999999999998,4408.275
201.5,4449.87
210.75,4414.063
234.75,4267.578
259.54999999999995,4059.245
285.29999999999995,3682.002
317.85,3372.396
326.95,3182.509
317.05,3231.699
304.35,3362.269
305.6,2938.006
289.0,3419.054
274.0,3239.294
277.85,3056.641
257.65,2991.537
230.4,3098.959
207.3,3169.85
195.0,3280.527
191.4,3304.037
203.85,3227.72
195.1,3200.955
196.8,3139.106
229.95,3204.933
247.55,3215.784
251.45,1000.072
247.95,81.019
255.55,24.957
267.2,1.447
264.25,1.447
249.2,13.383
234.64999999999998,9.404
208.0,13.383
193.35000000000002,8019.749
211.9,9995.298
248.35,9998.554
267.1,9998.554
275.75,1086.878
287.35,84.997
265.25,24.957
231.15,20.978
206.14999999999998,405.816
183.8,2953.921
170.89999999999998,3315.972
165.89999999999998,3387.587
164.8,3374.566
179.25,3426.287
177.60000000000002,3422.309
161.3,3430.628
145.8,3525.029
141.55,3563.73
158.25,3635.706
177.7,3649.088
179.0,3616.175
168.65,3563.73
160.4,3612.196
185.85000000000002,3532.625
234.25,3501.881
261.6,3472.584
256.3,3450.882
261.35,3453.415
277.75,3461.01
291.3,3364.8
312.95,3296.441
313.75,3308.015
286.35,3315.972
258.20000000000005,3348.886
259.35,3346.354
295.8,3284.867
308.15,3193.721
315.25,3190.104
300.95,3193.359
284.65,3242.549
255.95000000000002,3280.165
239.7,3311.632
211.15,3376.736
184.6,3399.161
176.15,3407.118
183.45,3505.859
192.60000000000002,3608.579
184.65,3639.323
174.5,3673.683
190.0,3631.366
244.45,3578.921
296.6,3468.244
331.15,3368.779
335.25,3361.183
307.95000000000005,3379.992
299.45000000000005,3449.074
282.2,3498.264
281.70000000000005,3391.927
309.05,3308.015
316.75,3246.528
322.95,3250.145
314.45,3257.74
303.45000000000005,3315.972
294.2,3327.546
290.95000000000005,3292.463
302.6,3296.441
302.54999999999995,3269.314
301.4,3319.951
285.6,3296.441
278.5,3422.309
269.1,3407.118
275.0,3383.608
261.45000000000005,3220.486
249.35,3193.721
249.5,3151.403
274.1,3174.19
282.5,3094.618
296.45000000000005,3090.278
310.85,3044.705
305.85,3044.705
306.45,3079.065
287.05,3098.959
245.95,3158.637
225.05,3170.573
196.2,3292.463
186.5,3350.333
195.15,3501.881
213.35,3532.625
239.55,3483.435
261.8,3388.672
259.6,3304.398
248.75,3224.465
248.95,3196.615
247.3,3162.977
248.75,2663.846
246.15,1125.217
245.65,3096.065
235.85000000000002,3276.91
226.2,3261.719
209.39999999999998,3242.911
206.85,3350.333
198.35000000000002,3421.947
222.95,3391.927
253.45000000000002,3373.119
271.6,3273.655
269.20000000000005,3193.721
244.20000000000002,3242.549
205.55,3331.163
188.45,3461.01
189.6,3525.029
198.5,3563.73
216.65,3574.942
248.2,3501.881
281.1,3461.01
299.75,3697.193
271.2,3586.878
259.20000000000005,3536.242
223.95,3464.989
220.35,3532.625
241.7,3556.135
265.8,3505.859
266.45,3449.436
250.1,3414.713
243.55,3479.456
247.75,3517.433
260.25,3490.669
281.4,3372.396
313.15,3346.354
328.2,3323.568
315.15,3350.333
304.9,3354.311
311.1,3346.354
317.5,3323.568
328.6,3308.015
337.3,3261.719
328.95,3261.719
325.65,3228.082
335.0,3281.25
338.1,3300.419
309.70000000000005,3288.846
270.15,3387.949
253.2,3468.605
247.05,3475.477
247.64999999999998,3464.989
283.9,3445.819
321.35,3425.564
304.4,3395.544
281.0,3331.163
270.55,3411.097
260.45000000000005,3419.054
270.65,3416.522
286.3,3464.989
310.29999999999995,3475.477
296.29999999999995,3536.242
282.6,3601.346
283.35,3619.792
283.04999999999995,3678.024
302.85,3611.834
311.29999999999995,3619.792
291.45000000000005,3634.26
263.20000000000005,3607.856
285.3,3654.876
295.65,3619.792
311.15,3628.111
327.6,3589.048
352.05,3635.706
336.85,3748.553
286.75,3768.084
255.7,3863.209
239.64999999999998,3902.272
222.05,4023.799
212.6,4008.608
216.5,3977.141
224.7,4066.479
252.9,4058.883
279.25,4047.309
294.15,3981.481
298.35,3981.481
270.35,3989.077
257.3,4004.268
228.85,4035.373
204.4,3969.908
204.5,4118.923
196.05,4187.645
199.3,4207.176
215.35000000000002,4195.602
261.6,4321.47
303.15,4328.704
319.35,4222.005
306.9,4099.392
276.35,4092.159
245.55,3973.886
217.1,3989.077
207.65,3973.886
213.1,3956.163
237.2,3890.697
235.8,3932.653
231.95,3894.676
213.85000000000002,3878.762
201.0,3868.273
184.89999999999998,3867.549
186.15,3855.975
193.1,3909.867
198.3,3906.25
190.0,3837.891
185.55,3855.975
221.3,3817.998
256.85,3818.721
265.0,3776.403
255.5,3749.638
247.1,3737.703
245.4,3776.403
253.6,3666.088
289.3,3635.706
292.95,3517.433
297.65,3552.156
281.2,3498.264
253.89999999999998,3517.433
252.25,3505.859
262.9,3517.433
264.35,3468.244
256.0,3418.692
245.85,3449.436
267.55,3403.139
306.25,3449.436
311.15,3422.309
296.6,3407.118
249.64999999999998,3457.755
217.85,3517.433
215.95,3643.302
229.05,3627.387
229.5,3578.921
243.5,3574.942
268.9,3516.71
279.70000000000005,3563.73
295.04999999999995,3513.093
328.70000000000005,3399.523
347.6,3418.692
361.4,3357.567
345.4,3304.037
334.0,3304.037
318.04999999999995,3327.546
329.6,3272.931
356.0,3178.169
365.95,3177.807
375.9,3189.019
385.65,3280.527
344.3,3339.482
286.9,3475.839
246.89999999999998,3498.264
222.95,3594.112
205.3,3639.323
206.2,3631.004
230.25,3616.175
265.2,3543.475
296.15,3544.56
322.95000000000005,3406.033
328.15,3383.608
322.85,3368.417
326.3,3414.713
316.85,3357.567
278.3,3387.949
265.2,3507.306
265.5,3601.346
264.05,3634.983
267.45,3634.983
268.6,3666.088
283.4,3578.921
280.6,3616.175
280.45000000000005,3631.727
284.79999999999995,3556.135
298.45,3571.325
325.70000000000005,3567.347
324.05,3517.433
321.55,3472.584
319.0,3483.435
313.85,3451.606
285.8,3468.605
272.4,3604.963
252.95,3666.088
231.45,3719.618
214.05,3757.234
212.9,3852.358
205.75,3942.419
197.65,3981.481
206.75,3997.396
219.75,4008.608
217.75,3952.546
216.15,3859.954
227.05,3886.719
238.8,3858.507
250.29999999999998,3822.7
258.8,3794.85
259.35,3768.808
252.85,3745.298
297.1,3772.063
304.1,3708.767
280.95,3677.662
272.4,3685.257
278.35,3689.598
298.7,3646.919
309.29999999999995,3631.366
301.15,3563.73
285.7,3552.156
275.25,3604.963
266.35,3634.983
262.9,3708.767
287.9,3749.277
297.3,3741.681
275.1,3719.618
243.35,3768.808
237.0,3848.38
225.45,3913.846
222.95,3925.058
238.95,4051.287
262.3,4066.479
263.1,3993.055
273.95,3996.672
298.5,3929.037
315.20000000000005,3875.145
355.95000000000005,3795.573
371.35,3708.767
